GID_date,Site_ID,GID,GID_gg,GID_hr
81076,,72504,,
81077,,72506,,
81078,,72508,,
81079,,72510,,
81087,,72512,,
81088,,72511,,
81096,,,,71581
81097,,,73390,
81098,,,73391,
81099,,,,71582
81100,,,73392,
81102,,,,71584
81103,,,73395,
81104,,,73396,
81105,,,,71585
81107,,,73398,
81108,,,73399,
81109,,,,71586
81110,,,73400,
81118,50170,,,
81120,,,73401,
81121,,,73402,
81122,,72387,,
81123,,50124,,
81124,,72400,,
81125,,72401,,
81126,,50174,,
81131,,,,71587
81132,,,73405,
81133,,,73406,
81134,,,73407,
81135,,,73408,
81136,,,,71588
81137,,,73409,
81138,,,73410,
81139,,,,71589
81140,,,73411,
81141,,,73412,
81142,,,73413,
81146,,,,71591
81147,,,73417,
81148,,,73418,
81149,,,,71592
81150,,,73419,
81151,,,73420,
81152,,,73421,
81153,,,73422,
81154,,,,71593
81155,,,73423,
81156,,,73424,
81157,50029,,,
81159,,50032,,
81160,,,,70744
81161,,,,70744
81163,,,71251,
81164,,,,71594
81166,,,73426,
81167,,,73427,
81168,,,73428,
81169,,,73429,
81171,,,,71595
81173,,,73431,
81174,,,73432,
81175,,,,71596
81176,,,73433,
81177,,,73434,
81178,,,73435,
81179,,,73436,
81180,,,73437,
81181,,,,71598
81182,,,73438,
81184,,,73440,
81185,,,73441,
81186,,,73442,
81187,,,,71599
81188,,,73443,
81190,,,73445,
81191,,,73446,
81192,,,73447,
81193,,,,71600
81194,,,73448,
81198,,,73455,
81200,,,73457,
81204,,50065,,
81205,,,73460,
81206,,,,71605
81207,,50068,,
81208,,,,70747
81209,,,,70748
81210,,50069,,
81211,,,,70749
81212,,50076,,
81213,,,,70755
81214,,50079,,
81215,,,,71602
81216,,,73451,
81217,,,73453,
81218,,,73452,
81219,,,,71606
81220,,,73461,
81221,,,73462,
81222,,,,71607
81223,,,73463,
81224,,,73464,
81225,,,,71608
81226,,,73465,
81227,,,,71609
81229,,,73467,
81230,,,,71610
81231,,,73468,
81232,,,73469,
81233,,,73470,
81234,,,,71611
81235,,,73471,
81236,,,73472,
81237,,,73473,
81239,,,,71612
81240,,,73475,
81241,,,73476,
81242,,,73477,
81243,,,,71613
81245,,,73479,
81246,,,,71614
